No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
254,PAYX,"Paychex, Inc.",44.06B,122.20,0.27%,5.01B
255,KVUE,Kenvue Inc.,43.99B,22.97,-,15.42B
256,KMB,Kimberly-Clark Corporation,43.79B,129.49,0.22%,20.35B
257,MCHP,Microchip Technology Incorporated,43.70B,80.29,1.16%,8.76B
258,MRNA,"Moderna, Inc.",43.39B,113.83,1.70%,10.65B
259,ADM,Archer-Daniels-Midland Company,43.35B,80.87,0.05%,99.88B
260,CCI,Crown Castle Inc.,43.31B,99.87,0.17%,7.15B
261,SU,Suncor Energy Inc.,43.19B,33.21,0.91%,39.76B
262,STM,STMicroelectronics N.V.,42.48B,46.91,1.34%,17.32B
263,WMB,"The Williams Companies, Inc.",42.42B,34.87,0.58%,11.52B
264,CPRT,"Copart, Inc.",42.14B,43.90,0.23%,3.76B
265,ET,Energy Transfer LP,42.12B,13.41,1.90%,80.76B
266,MSCI,MSCI Inc.,42.09B,532.15,0.19%,2.35B
267,AIG,"American International Group, Inc.",41.88B,57.87,0.03%,50.39B
268,MFG,"Mizuho Financial Group, Inc.",41.81B,3.30,2.80%,15.13B
269,SPG,"Simon Property Group, Inc.",41.81B,111.67,0.85%,5.44B
270,PCG,PG&E Corporation,41.72B,16.68,-0.12%,22.26B
271,DELL,Dell Technologies Inc.,41.59B,57.19,1.74%,97.11B
272,KHC,The Kraft Heinz Company,41.53B,33.84,-0.03%,27.10B
273,NUE,Nucor Corporation,41.52B,166.94,0.93%,37.46B
274,ALC,Alcon Inc.,41.37B,84.11,0.14%,9.09B
275,BSBR,Banco Santander (Brasil) S.A.,41.33B,5.54,1.47%,66.47B
276,WELL,Welltower Inc.,41.31B,81.29,0.32%,6.22B
277,CRH,CRH plc,41.19B,57.48,0.31%,33.86B
278,LVS,Las Vegas Sands Corp.,41.14B,53.82,2.28%,6.78B
279,D,"Dominion Energy, Inc.",40.94B,48.93,0.85%,18.35B
280,IDXX,"IDEXX Laboratories, Inc.",40.88B,493.08,0.08%,3.51B
281,ROST,"Ross Stores, Inc.",40.85B,119.93,0.78%,19.21B
282,AEP,"American Electric Power Company, Inc.",40.80B,79.20,-0.16%,19.47B
283,TEL,TE Connectivity Ltd.,40.73B,129.75,0.86%,16.36B
284,IQV,IQVIA Holdings Inc.,40.61B,221.79,1.27%,14.68B
285,ON,ON Semiconductor Corporation,40.44B,93.63,1.42%,8.35B
286,JCI,Johnson Controls International plc,40.23B,58.63,0.17%,26.61B
287,EXC,Exelon Corporation,40.06B,40.25,-0.12%,19.89B
288,O,Realty Income Corporation,40.03B,56.47,0.84%,3.69B
289,GIS,"General Mills, Inc.",39.84B,68.55,0.26%,20.09B
290,LI,Li Auto Inc.,39.65B,39.81,1.40%,10.28B
291,LNG,"Cheniere Energy, Inc.",39.49B,162.55,0.84%,29.35B
292,TFC,Truist Financial Corporation,39.12B,29.37,1.94%,22.33B
293,DHI,"D.R. Horton, Inc.",39.11B,115.62,0.59%,34.60B
294,IBKR,"Interactive Brokers Group, Inc.",38.90B,93.32,0.76%,3.82B
295,HLT,Hilton Worldwide Holdings Inc.,38.89B,148.72,1.16%,9.77B
296,COF,Capital One Financial Corporation,38.75B,101.59,0.73%,26.39B
297,SGEN,Seagen Inc.,38.71B,206.26,3.23%,2.16B
298,KMI,"Kinder Morgan, Inc.",38.68B,17.36,0.12%,17.15B
299,DXCM,"DexCom, Inc.",38.51B,99.29,-1.46%,3.20B
300,DLR,"Digital Realty Trust, Inc.",38.49B,127.15,0.95%,5.13B
301,BCE,BCE Inc.,38.40B,42.09,1.64%,18.48B
302,DOW,Dow Inc.,38.39B,54.60,1.15%,49.25B
303,BIIB,Biogen Inc.,38.39B,265.05,0.23%,9.97B
304,HLN,Haleon plc,38.18B,8.27,0.12%,15.22B
305,TTD,"The Trade Desk, Inc.",37.36B,76.21,0.40%,1.73B
306,TRV,Travelers Companies Inc.,36.82B,160.83,-0.50%,38.74B
307,CM,Canadian Imperial Bank of Commerce,36.81B,40.11,1.08%,16.86B
308,AME,"AMETEK, Inc.",36.53B,158.51,0.58%,6.42B
309,BKR,Baker Hughes Company,36.35B,36.00,1.72%,23.31B
310,YUM,"Yum! Brands, Inc.",36.23B,129.31,0.14%,6.99B
311,ABC,AmerisourceBergen Corporation,36.23B,180.39,0.51%,254.43B
312,CTVA,"Corteva, Inc.",36.15B,50.93,1.98%,17.53B
313,CVE,Cenovus Energy Inc.,35.98B,18.97,0.74%,42.13B
314,CTSH,Cognizant Technology Solutions Corporation,35.67B,70.62,0.80%,19.39B
315,TRP,TC Energy Corporation,35.66B,35.66,0.91%,11.73B
316,GWW,"W.W. Grainger, Inc.",35.51B,710.22,-0.61%,16.02B
317,ROK,"Rockwell Automation, Inc.",35.50B,309.05,1.89%,8.62B
318,SYY,Sysco Corporation,35.50B,70.28,0.75%,76.32B
319,WCN,"Waste Connections, Inc.",35.47B,137.69,-0.12%,7.67B
320,A,"Agilent Technologies, Inc.",35.14B,119.92,0.20%,6.99B
321,MPLX,MPLX LP,35.00B,34.96,0.09%,11.47B
322,OTIS,Otis Worldwide Corporation,34.85B,84.64,0.92%,13.85B
323,HAL,Halliburton Company,34.78B,38.71,1.47%,22.41B
324,LYG,Lloyds Banking Group plc,34.75B,2.12,1.92%,7.00B
325,CNC,Centene Corporation,34.67B,64.02,0.85%,147.92B
326,DD,"DuPont de Nemours, Inc.",34.65B,75.49,1.14%,12.53B
327,AMP,"Ameriprise Financial, Inc.",34.51B,336.28,0.64%,14.73B
328,VRSK,"Verisk Analytics, Inc.",34.51B,237.94,0.32%,2.30B
329,BK,The Bank of New York Mellon Corporation,34.46B,44.25,1.19%,17.01B
330,DG,Dollar General Corporation,34.34B,156.57,1.03%,38.44B
331,PRU,"Prudential Financial, Inc.",34.19B,93.66,-0.09%,64.36B
332,CEG,Constellation Energy Corporation,34.18B,105.37,-0.47%,26.40B
333,CRWD,"CrowdStrike Holdings, Inc.",34.15B,144.03,-3.71%,2.45B
334,PKX,POSCO Holdings Inc.,34.10B,112.34,2.15%,64.03B
335,SQ,"Block, Inc.",34.08B,55.87,0.02%,19.69B
336,PUK,Prudential plc,33.96B,24.67,1.40%,-8.22B
337,LHX,"L3Harris Technologies, Inc.",33.68B,178.09,-0.21%,17.99B
338,KR,The Kroger Co.,33.47B,46.63,0.19%,148.82B
339,CSGP,"CoStar Group, Inc.",33.39B,81.77,1.96%,2.32B
340,BBD,Banco Bradesco S.A.,33.26B,3.13,2.96%,15.48B
341,FIS,"Fidelity National Information Services, Inc.",33.15B,55.96,2.23%,14.57B
342,BF.A,Brown-Forman Corporation,33.05B,69.77,0.59%,4.23B
343,NU,Nu Holdings Ltd.,33.01B,6.96,-2.11%,6.24B
344,CMI,Cummins Inc.,32.95B,232.62,0.25%,32.19B
345,MFC,Manulife Financial Corporation,32.86B,17.97,0.50%,29.68B
346,FAST,Fastenal Company,32.75B,57.33,0.30%,7.24B
347,PPG,"PPG Industries, Inc.",32.70B,138.83,0.33%,17.91B
348,CPNG,"Coupang, Inc.",32.68B,18.32,-0.92%,22.07B
349,EA,Electronic Arts Inc.,32.65B,120.52,0.69%,7.58B
350,GPN,Global Payments Inc.,32.57B,125.29,2.94%,9.28B
351,IMO,Imperial Oil Limited,32.56B,55.74,0.91%,40.31B
352,DVN,Devon Energy Corporation,32.45B,50.57,0.28%,17.01B
353,LEN,Lennar Corporation,32.39B,114.05,0.01%,33.64B
354,FERG,Ferguson plc,32.15B,157.54,0.79%,29.87B
355,XEL,Xcel Energy Inc.,31.91B,57.85,0.47%,15.24B
356,LYB,LyondellBasell Industries N.V.,31.56B,97.34,0.86%,43.01B
357,GEHC,GE HealthCare Technologies Inc.,31.52B,69.31,1.05%,19.04B
358,PLTR,Palantir Technologies Inc.,31.50B,14.64,0.76%,2.05B
359,URI,"United Rentals, Inc.",31.21B,457.10,1.78%,13.19B
360,WBD,"Warner Bros. Discovery, Inc.",31.16B,12.79,4.24%,41.89B
361,VICI,VICI Properties Inc.,31.15B,30.74,0.72%,3.30B
362,ED,"Consolidated Edison, Inc.",31.09B,89.71,-0.19%,15.54B
363,NEM,Newmont Corporation,31.03B,39.04,1.91%,11.20B
364,HPQ,HP Inc.,30.89B,31.33,1.59%,56.21B
365,DASH,"DoorDash, Inc.",30.87B,78.50,0.62%,7.69B
366,NTR,Nutrien Ltd.,30.85B,62.38,2.33%,33.48B
367,ARES,Ares Management Corporation,30.69B,100.79,0.82%,3.65B
368,PEG,Public Service Enterprise Group Incorporated,30.54B,61.18,0.10%,11.59B
369,VEEV,Veeva Systems Inc.,30.51B,190.39,0.67%,2.18B
370,QSR,Restaurant Brands International Inc.,30.22B,67.69,-0.29%,6.78B
371,PWR,"Quanta Services, Inc.",30.15B,207.68,1.17%,18.35B
